School..,District..,District.x,School,BlackEnrollment,WhiteEnrollment,HispanicEnrollment,TotalEnrollment,PercentBlack,PercentWhite,District.y,District.Name,Discipline.School.Name,BlackStudentsPunished,WhiteStudentsPunished,HispanicStudentsPunished,TotalPunished,BlackStudentsPercentOfPunished,PercentOfBlackStudentsPunished,PercentOfWhiteStudentsPunished,PercentOfNonBlackStudentsPunished,PunishmentDisparityBlackVsWhite,PunishmentDisparityBlackVsNonBlack,PunishmentDisproportion
1971,50,PALM BEACH,WATSON B. DUNCAN MIDDLE SCHOOL,185,684,238,1227,0.150774246128769,0.557457212713936,50,PALM BEACH,WATSON B. DUNCAN MIDDLE SCHOOL,70,56,29,167,0.419161676646707,0.378378378378378,0.08187134502924,0.136104319478403,0.296507033349139,0.242274058899976,-0.268387430517937
1981,50,PALM BEACH,BEAR LAKES MIDDLE SCHOOL,508,25,121,654,0.776758409785933,0.03822629969419,50,PALM BEACH,BEAR LAKES MIDDLE SCHOOL,104,6,9,123,0.845528455284553,0.204724409448819,0.24,0.188073394495413,-0.035275590551181,0.016651014953406,-0.06877004549862
1991,50,PALM BEACH,OMNI MIDDLE SCHOOL,65,770,399,1347,0.048255382331106,0.571640682999258,50,PALM BEACH,OMNI MIDDLE SCHOOL,16,44,36,103,0.155339805825243,0.246153846153846,0.057142857142857,0.076466221232368,0.189010989010989,0.169687624921478,-0.107084423494137
2001,50,PALM BEACH,PARK VISTA COMMUNITY HIGH SCHOOL,381,1734,715,3035,0.125535420098847,0.571334431630972,50,PALM BEACH,PARK VISTA COMMUNITY HIGH SCHOOL,74,198,90,379,0.195250659630607,0.194225721784777,0.114186851211073,0.124876441515651,0.080038870573704,0.069349280269126,-0.06971523953176
2041,50,PALM BEACH,CARVER MIDDLE SCHOOL,595,50,120,765,0.777777777777778,0.065359477124183,50,PALM BEACH,CARVER MIDDLE SCHOOL,220,6,8,237,0.928270042194093,0.369747899159664,0.12,0.309803921568627,0.249747899159664,0.059943977591036,-0.150492264416315
2101,50,PALM BEACH,EGRET LAKE ELEMENTARY SCHOOL,378,12,176,566,0.667844522968198,0.021201413427562,50,PALM BEACH,EGRET LAKE ELEMENTARY SCHOOL,32,1,5,41,0.780487804878049,0.084656084656085,0.083333333333333,0.07243816254417,0.001322751322751,0.012217922111915,-0.112643281909851
2131,50,PALM BEACH,LAKE WORTH COMMUNITY MIDDLE,278,55,626,1019,0.272816486751717,0.053974484789009,50,PALM BEACH,LAKE WORTH COMMUNITY MIDDLE,86,13,159,274,0.313868613138686,0.309352517985612,0.236363636363636,0.268891069676153,0.072988881621975,0.040461448309458,-0.041052126386969
2151,50,PALM BEACH,OKEEHEELEE MIDDLE SCHOOL,225,122,1024,1392,0.161637931034483,0.08764367816092,50,PALM BEACH,OKEEHEELEE MIDDLE SCHOOL,80,27,162,277,0.288808664259928,0.355555555555556,0.221311475409836,0.198994252873563,0.13424408014572,0.156561302681992,-0.127170733225445
2181,50,PALM BEACH,OLYMPIC HEIGHTS COMMUNITY HIGH,257,980,671,2019,0.127290737989104,0.485388806339772,50,PALM BEACH,OLYMPIC HEIGHTS COMMUNITY HIGH,90,179,132,427,0.210772833723653,0.350194552529183,0.18265306122449,0.211490837048044,0.167541491304693,0.138703715481139,-0.08348209573455
2191,50,PALM BEACH,WELLINGTON HIGH SCHOOL,339,1201,827,2515,0.134791252485089,0.477534791252485,50,PALM BEACH,WELLINGTON HIGH SCHOOL,92,99,121,326,0.282208588957055,0.271386430678466,0.082431307243963,0.12962226640159,0.188955123434503,0.141764164276876,-0.147417336471966
2201,50,PALM BEACH,WILLIAM T. DWYER HIGH SCHOOL,711,1089,284,2215,0.320993227990971,0.491647855530474,50,PALM BEACH,WILLIAM T. DWYER HIGH SCHOOL,227,60,20,319,0.711598746081505,0.319268635724332,0.055096418732782,0.144018058690745,0.26417221699155,0.175250577033587,-0.390605518090534
2331,50,PALM BEACH,ROYAL PALM BEACH HIGH SCHOOL,899,391,727,2161,0.416011105969459,0.180934752429431,50,PALM BEACH,ROYAL PALM BEACH HIGH SCHOOL,93,15,41,150,0.62,0.103448275862069,0.038363171355499,0.06941230911615,0.06508510450657,0.034035966745919,-0.203988894030541
2351,50,PALM BEACH,ORCHARD VIEW ELEMENTARY SCHOOL,341,37,155,533,0.639774859287054,0.069418386491557,50,PALM BEACH,ORCHARD VIEW ELEMENTARY SCHOOL,15,2,1,18,0.833333333333333,0.043988269794721,0.054054054054054,0.033771106941839,-0.010065784259333,0.010217162852883,-0.193558474046279
2361,50,PALM BEACH,BOYNTON BEACH COMMUNITY HIGH,1150,172,346,1680,0.68452380952381,0.102380952380952,50,PALM BEACH,BOYNTON BEACH COMMUNITY HIGH,433,18,63,530,0.816981132075472,0.376521739130435,0.104651162790698,0.31547619047619,0.271870576339737,0.061045548654244,-0.132457322551662
2451,50,PALM BEACH,WESTERN PINES COMMUNITY MIDDLE,152,530,331,1111,0.136813681368137,0.477047704770477,50,PALM BEACH,WESTERN PINES COMMUNITY MIDDLE,23,65,42,139,0.165467625899281,0.151315789473684,0.122641509433962,0.125112511251125,0.028674280039722,0.026203278222559,-0.028653944531144
2461,50,PALM BEACH,EAGLES LANDING MIDDLE SCHOOL,101,758,458,1390,0.072661870503597,0.545323741007194,50,PALM BEACH,EAGLES LANDING MIDDLE SCHOOL,7,56,46,114,0.06140350877193,0.069306930693069,0.073878627968338,0.082014388489209,-0.004571697275268,-0.012707457796139,0.011258361731667
2511,50,PALM BEACH,BAK MIDDLE SCHOOL OF THE ARTS,166,734,270,1365,0.121611721611722,0.537728937728938,50,PALM BEACH,BAK MIDDLE SCHOOL OF THE ARTS,5,15,3,24,0.208333333333333,0.030120481927711,0.020435967302452,0.017582417582418,0.009684514625259,0.012538064345293,-0.086721611721612
2551,50,PALM BEACH,FRONTIER ELEMENTARY SCHOOL,27,365,157,549,0.049180327868853,0.664845173041894,50,PALM BEACH,FRONTIER ELEMENTARY SCHOOL,2,7,1,10,0.2,0.074074074074074,0.019178082191781,0.018214936247723,0.054895991882293,0.055859137826351,-0.150819672131148
2601,50,PALM BEACH,ODYSSEY MIDDLE SCHOOL,502,73,128,703,0.714082503556188,0.103840682788051,50,PALM BEACH,ODYSSEY MIDDLE SCHOOL,190,10,25,231,0.822510822510823,0.378486055776892,0.136986301369863,0.328591749644381,0.241499754407029,0.049894306132511,-0.108428318954635
2611,50,PALM BEACH,POLO PARK MIDDLE SCHOOL,136,375,253,802,0.169576059850374,0.467581047381546,50,PALM BEACH,POLO PARK MIDDLE SCHOOL,40,45,62,157,0.254777070063694,0.294117647058824,0.12,0.195760598503741,0.174117647058824,0.098357048555083,-0.08520101021332
2621,50,PALM BEACH,INDEPENDENCE MIDDLE SCHOOL,52,944,310,1420,0.036619718309859,0.664788732394366,50,PALM BEACH,INDEPENDENCE MIDDLE SCHOOL,14,100,48,176,0.079545454545455,0.269230769230769,0.105932203389831,0.123943661971831,0.163298565840939,0.145287107258938,-0.042925736235595
2631,50,PALM BEACH,PALM BEACH CENTRAL HIGH SCHOOL,587,1075,1064,2949,0.199050525601899,0.364530349270939,50,PALM BEACH,PALM BEACH CENTRAL HIGH SCHOOL,69,37,64,184,0.375,0.117546848381601,0.034418604651163,0.062394031875212,0.083128243730439,0.055152816506389,-0.175949474398101
2671,50,PALM BEACH,FREEDOM SHORES ELEMENTARY SCHOOL,284,209,365,858,0.331002331002331,0.243589743589744,50,PALM BEACH,FREEDOM SHORES ELEMENTARY SCHOOL,31,3,8,44,0.704545454545455,0.109154929577465,0.014354066985646,0.051282051282051,0.094800862591819,0.057872878295414,-0.373543123543124
2701,50,PALM BEACH,JEAGA MIDDLE SCHOOL,539,41,389,969,0.5562435500516,0.042311661506708,50,PALM BEACH,JEAGA MIDDLE SCHOOL,253,11,87,360,0.702777777777778,0.469387755102041,0.268292682926829,0.371517027863777,0.201095072175212,0.097870727238264,-0.146534227726178
2711,50,PALM BEACH,DON ESTRIDGE HIGH TECH MIDDLE,217,634,251,1267,0.171270718232044,0.500394632991318,50,PALM BEACH,DON ESTRIDGE HIGH TECH MIDDLE SCHOOL,35,24,16,79,0.443037974683544,0.161290322580645,0.037854889589905,0.062352012628256,0.12343543299074,0.098938309952389,-0.2717672564515
2721,50,PALM BEACH,DISCOVERY KEY ELEMENTARY SCHL,39,442,251,755,0.051655629139073,0.585430463576159,50,PALM BEACH,DISCOVERY KEY ELEMENTARY SCHOOL,2,14,4,22,0.090909090909091,0.051282051282051,0.031674208144796,0.029139072847682,0.019607843137255,0.022142978434369,-0.039253461770018
2751,50,PALM BEACH,BENOIST FARMS ELEMENTARY SCHL,304,10,158,472,0.644067796610169,0.021186440677966,50,PALM BEACH,BENOIST FARMS ELEMENTARY SCHOOL,7,0,7,14,0.5,0.023026315789474,0,0.029661016949153,0.023026315789474,-0.006634701159679,0.144067796610169
2781,50,PALM BEACH,TRADEWINDS MIDDLE SCHOOL,387,131,459,1015,0.38128078817734,0.129064039408867,50,PALM BEACH,TRADEWINDS MIDDLE SCHOOL,65,14,54,137,0.474452554744526,0.167958656330749,0.106870229007634,0.134975369458128,0.061088427323116,0.032983286872621,-0.093171766567186
2801,50,PALM BEACH,PALM BEACH MARITIME ACADEMY,326,191,349,866,0.376443418013857,0.220554272517321,50,PALM BEACH,PALM BEACH MARITIME ACADEMY,57,26,48,135,0.422222222222222,0.174846625766871,0.136125654450262,0.155889145496536,0.038720971316609,0.018957480270335,-0.045778804208365
2821,50,PALM BEACH,OSCEOLA CREEK MIDDLE SCHOOL,81,368,210,659,0.122913505311077,0.558421851289833,50,PALM BEACH,OSCEOLA CREEK MIDDLE SCHOOL,14,61,52,135,0.103703703703704,0.172839506172839,0.165760869565217,0.204855842185129,0.007078636607622,-0.03201633601229,0.019209801607374
2911,50,PALM BEACH,WESTERN ACADEMY CHARTER SCHOOL,47,252,98,397,0.118387909319899,0.634760705289673,50,PALM BEACH,WESTERN ACADEMY CHARTER SCHOOL,2,5,6,14,0.142857142857143,0.042553191489362,0.01984126984127,0.035264483627204,0.022711921648092,0.007288707862158,-0.024469233537244
3251,50,PALM BEACH,WEST BOCA RATON HIGH SCHOOL,193,1104,623,2019,0.095591877166914,0.546805349182764,50,PALM BEACH,WEST BOCA RATON HIGH SCHOOL,4,32,34,79,0.050632911392405,0.020725388601036,0.028985507246377,0.03912828132739,-0.008260118645341,-0.018402892726354,0.044958965774509
3261,50,PALM BEACH,DIAMOND VIEW ELEMENTARY SCHOOL,233,143,350,755,0.308609271523179,0.189403973509934,50,PALM BEACH,DIAMOND VIEW ELEMENTARY SCHOOL,5,1,4,10,0.5,0.021459227467811,0.006993006993007,0.013245033112583,0.014466220474804,0.008214194355228,-0.191390728476821
3351,50,PALM BEACH,GRASSY WATERS ELEMENTARY,430,94,187,711,0.60478199718706,0.132208157524613,50,PALM BEACH,GRASSY WATERS ELEMENTARY SCHOOL,10,2,0,13,0.769230769230769,0.023255813953488,0.021276595744681,0.018284106891702,0.001979218208808,0.004971707061787,-0.164448772043709
3371,50,PALM BEACH,EMERALD COVE MIDDLE SCHOOL,222,533,332,1191,0.18639798488665,0.44752308984047,50,PALM BEACH,EMERALD COVE MIDDLE SCHOOL,58,47,47,167,0.347305389221557,0.261261261261261,0.088180112570357,0.140218303946264,0.173081148690905,0.121042957314998,-0.160907404334907
3381,50,PALM BEACH,IMAGINE SCHOOLS CHANCELLOR CAMPUS,222,553,157,932,0.238197424892704,0.593347639484979,50,PALM BEACH,IMAGINE SCHOOLS CHANCELLOR CAMPUS,10,5,4,19,0.526315789473684,0.045045045045045,0.009041591320072,0.020386266094421,0.036003453724973,0.024658778950624,-0.28811836458098
3385,50,PALM BEACH,BRIGHT FUTURES ACADEMY,183,137,12,332,0.551204819277108,0.412650602409639,50,PALM BEACH,BRIGHT FUTURES ACADEMY,28,19,6,55,0.509090909090909,0.153005464480874,0.138686131386861,0.16566265060241,0.014319333094013,-0.012657186121535,0.042113910186199
3396,50,PALM BEACH,G-STAR SCHOOL OF THE ARTS,145,435,358,990,0.146464646464646,0.439393939393939,50,PALM BEACH,G-STAR SCHOOL OF THE ARTS,8,14,13,36,0.222222222222222,0.055172413793103,0.032183908045977,0.036363636363636,0.022988505747126,0.018808777429467,-0.075757575757576
3400,50,PALM BEACH,BELIEVERS ACADEMY,66,18,0,84,0.785714285714286,0.214285714285714,50,PALM BEACH,BELIEVERS ACADEMY,12,3,4,21,0.571428571428571,0.181818181818182,0.166666666666667,0.25,0.015151515151515,-0.068181818181818,0.214285714285714
3861,50,PALM BEACH,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL,277,1248,617,2267,0.122187913542126,0.55050727834142,50,PALM BEACH,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL,86,215,109,428,0.200934579439252,0.310469314079422,0.172275641025641,0.188795765328628,0.138193673053781,0.121673548750794,-0.078746665897126
3924,50,PALM BEACH,PALM BEACH MARITIME ACADEMY HIGH SCHOOL,29,47,61,137,0.211678832116788,0.343065693430657,50,PALM BEACH,PALM BEACH MARITIME ACADEMY HIGH SCHOOL,7,2,3,15,0.466666666666667,0.241379310344828,0.042553191489362,0.109489051094891,0.198826118855466,0.131890259249937,-0.254987834549878
3971,50,PALM BEACH,MAVERICKS HIGH SCHOOL AT PALM SPRINGS,117,26,174,317,0.369085173501577,0.082018927444795,50,PALM BEACH,MAVERICKS HIGH SCHOOL AT PALM SPRINGS,12,0,7,19,0.631578947368421,0.102564102564103,0,0.05993690851735,0.102564102564103,0.042627194046752,-0.262493773866844
4000,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT PALMS WEST,112,187,203,502,0.223107569721116,0.372509960159363,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT PALMS WEST,14,6,5,27,0.518518518518518,0.125,0.032085561497326,0.053784860557769,0.092914438502674,0.071215139442231,-0.295410948797403
4001,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT WELLINGTON,162,150,243,555,0.291891891891892,0.27027027027027,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT WELLINGTON,4,4,2,11,0.363636363636364,0.024691358024691,0.026666666666667,0.01981981981982,-0.001975308641975,0.004871538204872,-0.071744471744472
4002,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT SUMMIT,182,106,696,984,0.184959349593496,0.107723577235772,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT SUMMIT,28,8,23,59,0.474576271186441,0.153846153846154,0.075471698113208,0.059959349593496,0.078374455732946,0.093886804252658,-0.289616921592945
4012,50,PALM BEACH,SOMERSET ACADEMY CANYONS MIDDLE SCHOOL,137,443,201,848,0.161556603773585,0.522405660377358,50,PALM BEACH,SOMERSET ACADEMY CANYONS MIDDLE SCHOOL,26,30,18,81,0.320987654320988,0.18978102189781,0.067720090293454,0.095518867924528,0.122060931604356,0.094262153973282,-0.159431050547403
4013,50,PALM BEACH,SOMERSET ACADEMY CANYONS HIGH SCHOOL,123,331,161,627,0.196172248803828,0.527910685805423,50,PALM BEACH,SOMERSET ACADEMY CANYONS HIGH SCHOOL,21,30,27,82,0.25609756097561,0.170731707317073,0.090634441087613,0.130781499202552,0.08009726622946,0.039950208114521,-0.059925312171782
4020,50,PALM BEACH,FRANKLIN ACADEMY CHARTER SCHOOL B,355,519,290,1194,0.297319932998325,0.434673366834171,50,PALM BEACH,FRANKLIN ACADEMY CHARTER SCHOOL B,50,53,34,151,0.33112582781457,0.140845070422535,0.102119460500963,0.126465661641541,0.038725609921572,0.014379408780994,-0.033805894816245
4021,50,PALM BEACH,FRANKLIN ACADEMY CHARTER C,106,532,176,814,0.13022113022113,0.653562653562654,50,PALM BEACH,FRANKLIN ACADEMY CHARTER C,6,5,6,18,0.333333333333333,0.056603773584906,0.009398496240602,0.022113022113022,0.047205277344304,0.034490751471884,-0.203112203112203
4050,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT CYPRESS,361,34,162,557,0.648114901256733,0.061041292639138,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT CYPRESS,56,11,11,81,0.691358024691358,0.155124653739612,0.323529411764706,0.145421903052065,-0.168404758025094,0.009702750687548,-0.043243123434625
4051,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT CENTRAL PALM,463,91,321,875,0.529142857142857,0.104,50,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT CENTRAL PALM,89,14,31,137,0.64963503649635,0.192224622030238,0.153846153846154,0.156571428571429,0.038378468184084,0.035653193458809,-0.120492179353493
4061,50,PALM BEACH,FRANKLIN ACADEMY CHARTER D,11,259,93,373,0.029490616621984,0.694369973190349,50,PALM BEACH,FRANKLIN ACADEMY CHARTER D,2,11,7,20,0.1,0.181818181818182,0.042471042471043,0.053619302949062,0.139347139347139,0.12819887886912,-0.070509383378016
4072,50,PALM BEACH,EAGLE ARTS ACADEMY,136,295,263,694,0.195965417867435,0.42507204610951,50,PALM BEACH,EAGLE ARTS ACADEMY,4,6,8,18,0.222222222222222,0.029411764705882,0.020338983050848,0.025936599423631,0.009072781655035,0.003475165282251,-0.026256804354787
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ENROLLMENT,RAW NUMBERS,PERCENT,,,,,,,,,,,,,,,,,,,,,
Black,34059,0.276486585217356,,,,,,,,,,,,,,,,,,,,,
White,40153,0.325956894102366,,,,,,,,,,,,,,,,,,,,,
Hispanic,43803,0.35558712505581,,,,,,,,,,,,,,,,,,,,,
Total,123185,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PUNISHED,RAW NUMBERS,PERCENT,,,,,,,,,,,,,,,,,,,,,
Black,6816,0.481389928667279,,,,,,,,,,,,,,,,,,,,,
White,2925,0.206582385761706,,,,,,,,,,,,,,,,,,,,,
Hispanic,3789,0.267603644325164,,,,,,,,,,,,,,,,,,,,,
Total,14159,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PERCENT PUNISHED,RAW NUMBERS,,,,,,,,,,,,,,,,,,,,,,
Black,0.200123315423236,,,,,,,,,,,,,,,,,,,,,,
White,0.072846362662815,,,,,,,,,,,,,,,,,,,,,,
Hispanic,0.086500924594206,,,,,,,,,,,,,,,,,,,,,,
Total,0.11494094248488,,,,,,,,,,,,,,,,,,,,,,
